Cust_num,Region,Age,Order_Quantity,Customer_Type,Improvement_Area,Overall_Satisfaction
1,WEST,45,24,Prime,Product Quality,0
2,EAST,20,75,Prime,Product Quality,1
3,EAST,28,70,Prime,Packing & Shipping,1
4,SOUTH,66,28,Prime,Website UI,0
5,WEST,22,39,Prime,Website UI,1
6,WEST,19,50,Prime,Website UI,1
7,EAST,37,74,Prime,Packing & Shipping,1
8,WEST,57,22,Non_Prime,Packing & Shipping,0
9,NORTH,39,58,Prime,Packing & Shipping,1
10,SOUTH,21,50,Prime,Website UI,1
11,NORTH,32,34,Prime,Website UI,1
12,SOUTH,43,6,Non_Prime,Packing & Shipping,0
13,SOUTH,43,20,Prime,Packing & Shipping,0
14,SOUTH,43,75,Prime,Product Quality,1
15,NORTH,32,6,Non_Prime,Website UI,0
16,SOUTH,30,73,Prime,Website UI,1
17,SOUTH,69,10,Non_Prime,Website UI,0
18,NORTH,33,38,Prime,Packing & Shipping,0
19,EAST,36,41,Prime,Product Quality,1
20,NORTH,44,47,Prime,Website UI,1
21,EAST,30,77,Prime,Packing & Shipping,1
22,EAST,46,20,Non_Prime,Website UI,0
23,NORTH,42,19,Non_Prime,Packing & Shipping,0
24,WEST,33,30,Non_Prime,Product Quality,0
25,SOUTH,19,35,Prime,Website UI,1
26,SOUTH,22,80,Prime,Product Quality,1
27,WEST,37,52,Prime,Packing & Shipping,1
28,SOUTH,35,19,Non_Prime,Packing & Shipping,0
29,WEST,59,37,Prime,Packing & Shipping,0
30,EAST,25,33,Prime,Packing & Shipping,1
31,WEST,40,77,Prime,Product Quality,1
32,WEST,33,22,Non_Prime,Packing & Shipping,0
33,NORTH,58,12,Prime,Packing & Shipping,0
34,EAST,47,9,Non_Prime,Website UI,0
35,SOUTH,29,35,Prime,Product Quality,1
36,SOUTH,49,16,Prime,Packing & Shipping,0
37,SOUTH,41,55,Non_Prime,Packing & Shipping,1
38,NORTH,31,48,Prime,Packing & Shipping,1
39,EAST,34,24,Non_Prime,Packing & Shipping,0
40,SOUTH,35,20,Non_Prime,Packing & Shipping,0
41,SOUTH,24,59,Prime,Product Quality,1
42,SOUTH,33,49,Prime,Packing & Shipping,1
43,SOUTH,23,50,Prime,Packing & Shipping,1
44,SOUTH,38,29,Prime,Packing & Shipping,0
45,WEST,40,7,Non_Prime,Product Quality,0
46,WEST,47,21,Non_Prime,Website UI,0
47,EAST,22,64,Non_Prime,Website UI,1
48,SOUTH,35,79,Prime,Packing & Shipping,1
49,SOUTH,43,74,Prime,Website UI,1
50,NORTH,67,27,Prime,Packing & Shipping,0
51,NORTH,38,16,Prime,Packing & Shipping,0
52,SOUTH,19,30,Prime,Packing & Shipping,1
53,WEST,22,66,Prime,Website UI,1
54,SOUTH,20,71,Prime,Product Quality,1
55,WEST,63,9,Non_Prime,Website UI,0
56,WEST,38,91,Prime,Website UI,1
57,NORTH,55,7,Non_Prime,Packing & Shipping,0
58,EAST,55,6,Non_Prime,Website UI,0
59,NORTH,42,10,Non_Prime,Packing & Shipping,0
60,WEST,67,31,Non_Prime,Website UI,0
61,SOUTH,20,94,Prime,Packing & Shipping,0
62,WEST,54,12,Non_Prime,Product Quality,1
63,SOUTH,25,34,Prime,Website UI,0
64,NORTH,52,28,Prime,Packing & Shipping,1
65,SOUTH,41,35,Prime,Packing & Shipping,0
66,NORTH,20,52,Prime,Product Quality,0
67,WEST,63,17,Prime,Packing & Shipping,1
68,WEST,40,97,Prime,Packing & Shipping,1
69,NORTH,49,32,Prime,Product Quality,1
70,SOUTH,66,34,Non_Prime,Product Quality,0
71,WEST,47,31,Prime,Product Quality,0
72,WEST,37,46,Prime,Packing & Shipping,0
73,WEST,45,35,Non_Prime,Product Quality,1
74,NORTH,46,35,Prime,Packing & Shipping,1
75,SOUTH,44,22,Non_Prime,Packing & Shipping,0
76,SOUTH,22,79,Prime,Product Quality,1
77,WEST,31,63,Prime,Packing & Shipping,1
78,SOUTH,65,13,Prime,Packing & Shipping,0
79,WEST,35,83,Prime,Website UI,1
80,EAST,35,62,Prime,Website UI,1
81,EAST,39,60,Non_Prime,Packing & Shipping,1
82,EAST,65,38,Prime,Packing & Shipping,0
83,WEST,44,9,Prime,Website UI,0
84,SOUTH,65,23,Non_Prime,Packing & Shipping,0
85,SOUTH,42,46,Prime,Packing & Shipping,1
86,EAST,44,73,Non_Prime,Product Quality,1
87,NORTH,56,40,Prime,Website UI,1
88,EAST,27,56,Prime,Packing & Shipping,1
89,NORTH,59,18,Non_Prime,Packing & Shipping,1
90,SOUTH,28,67,Prime,Product Quality,1
91,NORTH,52,38,Non_Prime,Product Quality,1
92,NORTH,44,18,Prime,Product Quality,1
93,NORTH,66,5,Prime,Website UI,1
94,NORTH,42,44,Prime,Product Quality,1
95,WEST,40,94,Prime,Product Quality,1
96,SOUTH,43,83,Prime,Website UI,1
97,SOUTH,36,33,Non_Prime,Website UI,1
98,NORTH,35,6,Prime,Product Quality,1
99,EAST,57,16,Prime,Packing & Shipping,0
100,EAST,21,57,Prime,Website UI,1
101,NORTH,36,72,Prime,Product Quality,1
102,WEST,39,37,Prime,Website UI,0
103,NORTH,66,38,Non_Prime,Website UI,0
104,EAST,33,53,Prime,Website UI,1
105,WEST,19,96,Non_Prime,Product Quality,1
106,NORTH,35,22,Non_Prime,Website UI,0
107,SOUTH,53,21,Non_Prime,Packing & Shipping,0
108,EAST,42,11,Non_Prime,Website UI,0
109,EAST,62,38,Non_Prime,Product Quality,0
110,EAST,25,86,Non_Prime,Packing & Shipping,1
111,WEST,42,21,Prime,Website UI,0
112,WEST,51,29,Prime,Product Quality,0
113,NORTH,50,22,Non_Prime,Website UI,0
114,SOUTH,44,26,Non_Prime,Website UI,0
115,WEST,31,97,Prime,Packing & Shipping,1
116,SOUTH,43,91,Prime,Product Quality,1
117,NORTH,41,71,Prime,Product Quality,1
118,WEST,65,23,Non_Prime,Website UI,0
119,WEST,58,13,Prime,Website UI,0
120,WEST,23,50,Prime,Product Quality,1
121,SOUTH,31,11,Prime,Website UI,0
122,SOUTH,69,10,Prime,Product Quality,0
123,NORTH,48,12,Prime,Website UI,0
124,WEST,45,40,Non_Prime,Packing & Shipping,0
125,WEST,18,70,Prime,Packing & Shipping,1
126,SOUTH,58,25,Non_Prime,Website UI,0
127,EAST,21,90,Non_Prime,Product Quality,1
128,WEST,32,65,Non_Prime,Product Quality,1
129,EAST,37,43,Prime,Product Quality,1
130,SOUTH,58,14,Prime,Product Quality,0
131,WEST,40,91,Prime,Packing & Shipping,1
132,WEST,59,38,Non_Prime,Product Quality,0
133,SOUTH,36,30,Prime,Website UI,1
134,SOUTH,38,93,Prime,Product Quality,1
135,SOUTH,43,76,Prime,Website UI,1
136,SOUTH,44,75,Prime,Packing & Shipping,0
137,SOUTH,36,64,Non_Prime,Product Quality,0
138,WEST,54,38,Non_Prime,Packing & Shipping,1
139,NORTH,50,13,Prime,Product Quality,0
140,EAST,21,95,Non_Prime,Packing & Shipping,1
141,WEST,55,29,Non_Prime,Product Quality,0
142,WEST,43,23,Non_Prime,Packing & Shipping,0
143,NORTH,50,24,Non_Prime,Packing & Shipping,1
144,NORTH,42,22,Non_Prime,Product Quality,1
145,SOUTH,28,54,Prime,Product Quality,1
146,SOUTH,39,53,Prime,Website UI,0
147,SOUTH,64,22,Non_Prime,Website UI,0
148,SOUTH,65,35,Non_Prime,Packing & Shipping,0
149,NORTH,18,31,Non_Prime,Packing & Shipping,1
150,WEST,46,33,Prime,Website UI,1
151,WEST,20,35,Prime,Product Quality,1
152,NORTH,50,15,Non_Prime,Product Quality,0
153,WEST,62,14,Non_Prime,Website UI,0
154,WEST,69,21,Prime,Packing & Shipping,0
155,NORTH,19,100,Prime,Packing & Shipping,1
156,NORTH,34,33,Non_Prime,Packing & Shipping,0
157,NORTH,44,12,Prime,Website UI,0
158,SOUTH,38,62,Non_Prime,Website UI,1
159,WEST,32,38,Prime,Product Quality,1
160,WEST,57,37,Non_Prime,Website UI,0
161,WEST,35,16,Non_Prime,Packing & Shipping,0
162,SOUTH,45,24,Non_Prime,Product Quality,0
163,SOUTH,68,5,Prime,Website UI,0
164,EAST,59,18,Non_Prime,Website UI,0
165,NORTH,34,29,Non_Prime,Packing & Shipping,0
166,SOUTH,46,27,Non_Prime,Product Quality,0
167,NORTH,41,27,Non_Prime,Product Quality,0
168,SOUTH,43,95,Prime,Website UI,1
169,NORTH,64,6,Non_Prime,Product Quality,0
170,EAST,37,69,Prime,Packing & Shipping,1
171,NORTH,32,34,Prime,Packing & Shipping,0
172,EAST,32,75,Non_Prime,Product Quality,1
